epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,11.2894,1.59272,2.19052,1.3981,0.02699,1,0.0572,0.03399,0.94571,3.27384,1.27608,0.000172354,0.000172354,0.000172354
38,11.5656,1.36503,1.93726,1.39991,0.02699,1,0.0572,0.03399,0.94571,3.27384,1.27608,0.00016493,0.00016493,0.00016493
39,11.8691,1.35659,1.88063,1.33053,0.02699,1,0.06714,0.04242,0.94948,3.27771,1.27598,0.000156845,0.000156845,0.000156845
40,12.1511,1.6695,2.11525,1.62145,0.02699,1,0.06714,0.04242,0.94948,3.27771,1.27598,0.0001481,0.0001481,0.0001481
41,16.3006,1.67305,2.12365,1.60094,0.02703,1,0.06691,0.04228,0.93678,3.28558,1.27299,0.000138694,0.000138694,0.000138694
42,16.6677,1.62574,1.93552,1.51653,0.02703,1,0.06691,0.04228,0.93678,3.28558,1.27299,0.000128629,0.000128629,0.000128629
43,17.0277,1.55898,2.07528,1.48732,0.02703,1,0.05492,0.03275,0.93135,3.30891,1.28617,0.000117904,0.000117904,0.000117904
44,17.3272,1.42567,1.72919,1.21454,0.02703,1,0.05492,0.03275,0.93135,3.30891,1.28617,0.000106518,0.000106518,0.000106518
45,17.6446,1.43076,1.89445,1.44299,0.02697,1,0.06661,0.04284,0.9179,3.30794,1.28217,9.44722e-05,9.44722e-05,9.44722e-05
46,17.9392,1.27765,1.80245,1.33498,0.02697,1,0.06661,0.04284,0.9179,3.30794,1.28217,8.17663e-05,8.17663e-05,8.17663e-05
47,18.2522,1.66908,2.05416,1.59926,0.02692,1,0.07251,0.04364,0.88827,3.29489,1.27605,6.84003e-05,6.84003e-05,6.84003e-05
48,18.54,1.28521,2.00707,1.31313,0.02692,1,0.07251,0.04364,0.88827,3.29489,1.27605,5.43742e-05,5.43742e-05,5.43742e-05
49,18.9419,1.63203,1.83134,1.47044,0.02699,1,0.11929,0.07563,0.88256,3.26662,1.27468,3.96879e-05,3.96879e-05,3.96879e-05
50,19.2243,1.3997,1.99865,1.58286,0.02699,1,0.11929,0.07563,0.88256,3.26662,1.27468,2.43415e-05,2.43415e-05,2.43415e-05
1,0.826241,2.73827,3.55049,2.30238,0.02574,0.8125,0.03136,0.03136,0.08617,3.25143,0.7225,0,0,0
2,1.07851,2.55287,3.61392,2.2419,0.02584,0.8125,0.03279,0.03279,0.08909,3.24993,0.72384,1.63399e-05,1.63399e-05,1.63399e-05
3,1.32884,2.70221,3.63847,2.1315,0.02546,0.8125,0.0308,0.0308,0.09555,3.24854,0.7237,3.20197e-05,3.20197e-05,3.20197e-05
4,1.56008,2.71492,3.6085,2.28803,0.02512,0.8125,0.03111,0.03111,0.10163,3.24919,0.72352,4.70394e-05,4.70394e-05,4.70394e-05
5,1.78377,2.50951,3.51082,2.42474,0.02479,0.8125,0.03071,0.03071,0.10907,3.24731,0.72511,6.13989e-05,6.13989e-05,6.13989e-05
6,2.03193,2.49804,3.44734,2.4374,0.03009,0.9375,0.03761,0.03761,0.1029,3.24463,0.7248,7.50984e-05,7.50984e-05,7.50984e-05
