mosaic,degrees,translate,perspective,scale,mAP50,F1,tp_harmonic,avg_metric
0.25,180.0,0.25,0.0,0.25,0.4538630249146089,0.7709928645345188,0.726785714270573,0.6505472012399003
0.25,180.0,0.25,0.0,0.5,0.4288379870148339,0.6152762567414316,0.5172413792995689,0.5204518743519447
0.25,180.0,0.25,0.0025,0.0,0.3118642099052824,0.7106940684066406,0.6717171717031777,0.5647584833383669
0.25,180.0,0.25,0.0025,0.25,0.4016166721899809,0.7573950997012125,0.72857142855625,0.6291944001491477
0.25,180.0,0.25,0.0025,0.5,0.3877847159488109,0.7262873478511697,0.47619047618055554,0.5300875133268453
0.25,180.0,0.25,0.005,0.0,0.2824941860945281,0.7389261355850293,0.6503906249864503,0.5572703155553359
0.25,180.0,0.25,0.005,0.25,0.31155141260309305,0.7479993884841671,0.6144067796482169,0.5579858602451591
0.25,180.0,0.25,0.005,0.5,0.18667972010469647,0.6966846307582268,0.605932203377207,0.4964321847467101
0.25,180.0,0.5,0.0,0.0,0.35643621898100325,0.74577166359709,0.6641025640887287,0.5887701488889406
0.25,180.0,0.5,0.0,0.25,0.42562417236689204,0.7930494850113149,0.7657657657498124,0.6614798077093398
0.25,180.0,0.5,0.0,0.5,0.384485734053269,0.7479076913505636,0.6940298507318098,0.6088077587118809
0.25,180.0,0.5,0.0025,0.0,0.24340285308019602,0.6844773229853686,0.4017857142773437,0.44322196344763615
0.25,180.0,0.5,0.0025,0.25,0.2795514243217112,0.6926405477337577,0.45758928570475266,0.4765937525867405
0.25,180.0,0.5,0.0025,0.5,0.2593283659707488,0.6778913639537388,0.43484848483942556,0.45735607158797104
0.25,180.0,0.5,0.005,0.0,0.2415303641116641,0.7217763751911004,0.5847953216252437,0.516034020309336
0.25,180.0,0.5,0.005,0.25,0.18888087626404373,0.7285685771979487,0.6034482758494972,0.5069659097704965
0.25,180.0,0.5,0.005,0.5,0.2236495123475423,0.6974153350183941,0.5999999999875,0.5070216157844788
0.5,0.0,0.0,0.0,0.0,0.733534617403305,0.8032783540813898,0.7276995305012716,0.7548375006619888
0.5,0.0,0.0,0.0,0.25,0.8660524496104618,0.8346376947162066,0.7644444444285184,0.8217115295850622
0.5,0.0,0.0,0.0,0.5,0.9120295857590707,0.8298915107859488,0.7238095237944445,0.8219102067798213
0.5,0.0,0.0,0.0025,0.0,0.5633999440625116,0.7153665980945718,0.7065217391157157,0.6617627604242663
0.5,0.0,0.0,0.0025,0.25,0.6487010990233173,0.7051116589724914,0.5926724137807562,0.6488283905921883
0.5,0.0,0.0,0.0025,0.5,0.6500787900728925,0.7197057865938408,0.6243055555425493,0.6646967107364276
0.5,0.0,0.0,0.005,0.0,0.5834859217593485,0.7701788822975778,0.6849747474604772,0.6795465171724678
0.5,0.0,0.0,0.005,0.25,0.4117285015881845,0.6622271182484281,0.3040540540477196,0.45933655796144407
0.5,0.0,0.0,0.005,0.5,0.5192708486976656,0.7191809497494862,0.6862745097896242,0.6415754360789254
0.5,0.0,0.25,0.0,0.0,0.8433247296278518,0.8235667757953353,0.816455696185522,0.8277824005362363
0.5,0.0,0.25,0.0,0.25,0.8987881546420612,0.8798427524511343,0.8217299577887879,0.866786954960661
0.5,0.0,0.25,0.0,0.5,0.864762870554182,0.8787504536796413,0.8460365853482279,0.8631833031940171
0.5,0.0,0.25,0.0025,0.0,0.6170809475691741,0.761957568811113,0.7476851851696085,0.7089079005166319
0.5,0.0,0.25,0.0025,0.25,0.6611591328439325,0.7359144456998875,0.72857142855625,0.7085483357000233
0.5,0.0,0.25,0.0025,0.5,0.6076425132160393,0.7142871189895272,0.7355324073920837,0.6858206798658834
0.5,0.0,0.25,0.005,0.0,0.6012045334335832,0.7942739584694012,0.6560846560709878,0.6838543826579907
0.5,0.0,0.25,0.005,0.25,0.5318850132467907,0.777091871176499,0.7028186274363384,0.6705985039532093
0.5,0.0,0.25,0.005,0.5,0.45278621792518703,0.7098364966490823,0.7382629107827415,0.6336285417856703
0.5,0.0,0.5,0.0,0.0,0.850393350711777,0.8450224121708473,0.7863247863084046,0.827246849730343
0.5,0.0,0.5,0.0,0.25,0.8971382337045567,0.8554829532273869,0.811965811948896,0.8548623329602799
0.5,0.0,0.5,0.0,0.5,0.8817464160999675,0.8524779678581478,0.806962025299644,0.8470621364192531
0.5,0.0,0.5,0.0025,0.0,0.5407989064940446,0.7077289789434592,0.552910052898534,0.6004793127786793
0.5,0.0,0.5,0.0025,0.25,0.6303977302744965,0.7652136891447501,0.7431506849160245,0.7129207014450903
0.5,0.0,0.5,0.0025,0.5,0.7064817890895502,0.80117094567858,0.6985294117501533,0.7353940488394278
0.5,0.0,0.5,0.005,0.0,0.5241501828048699,0.7333848334289723,0.7196428571278646,0.6590592911205689
0.5,0.0,0.5,0.005,0.25,0.5412679204043803,0.7462500629672956,0.5503144653973402,0.6126108162563387
0.5,0.0,0.5,0.005,0.5,0.5060110804338631,0.7243005603577476,0.749999999984375,0.660103880258662
0.5,180.0,0.0,0.0,0.0,0.4140353098006414,0.7634990014241395,0.7216435185034843,0.6330592765760884
0.5,180.0,0.0,0.0,0.25,0.5424050359582216,0.8201219954598297,0.7347972972819891,0.6991081095666801
0.5,180.0,0.0,0.0,0.5,0.5235128668315424,0.7884846783496553,0.658700980378434,0.6568995085198773
0.5,180.0,0.0,0.0025,0.0,0.3300953487757719,0.638405539482272,0.6215846994406022,0.530028529232882
0.5,180.0,0.0,0.0025,0.25,0.2951530443908874,0.7004008187742357,0.6410256410122864,0.5455265013924698
0.5,180.0,0.0,0.0025,0.5,0.33084415314541793,0.6952157587255636,0.6529850746132619,0.5596816621614145
0.5,180.0,0.0,0.005,0.0,0.3055021086202493,0.7735414282491486,0.6431451612769238,0.5740628993821072
0.5,180.0,0.0,0.005,0.25,0.2756566942820134,0.718413892691739,0.732394366181925,0.5754883177185591
0.5,180.0,0.0,0.005,0.5,0.2945890960845442,0.7867099892573739,0.5128205128098291,0.5313731993839157
0.5,180.0,0.25,0.0,0.0,0.3669827554904111,0.7311462845185698,0.6470959595824785,0.5817416665304864
0.5,180.0,0.25,0.0,0.25,0.4721856062322968,0.7297851625135043,0.6283068782937887,0.6100925490131965
0.5,180.0,0.25,0.0,0.5,0.5481667334180794,0.8406947290987565,0.7685810810650691,0.7191475145273016
0.5,180.0,0.25,0.0025,0.0,0.3865756145939801,0.7076839222418397,0.7077380952233507,0.6006658773530569
0.5,180.0,0.25,0.0025,0.25,0.31540689998955074,0.7238771192901233,0.7602739725869007,0.599852663955525
0.5,180.0,0.25,0.0025,0.5,0.25433974533672493,0.7183001108365769,0.6129032257936828,0.5285143606556616
0.5,180.0,0.25,0.005,0.0,0.274362050213104,0.7870590550009061,0.6311475409704577,0.564189548728156
0.5,180.0,0.25,0.005,0.25,0.22458476436914482,0.7426964826756735,0.5878906249877524,0.5183906240108569
0.5,180.0,0.25,0.005,0.5,0.2930979133417044,0.7358493032909763,0.5174999999892188,0.5154824055406332
0.5,180.0,0.5,0.0,0.0,0.42174426163318157,0.7868863157147536,0.6642512077156301,0.6242939283545218
0.5,180.0,0.5,0.0,0.25,0.45472200664382123,0.8168636698064611,0.6999999999854167,0.6571952254785663
0.5,180.0,0.5,0.0,0.5,0.3755608055707736,0.7401404743075212,0.7488584474729832,0.6215199091170928
0.5,180.0,0.5,0.0025,0.0,0.30959167351971784,0.7850256440651117,0.48888888887870374,0.5278354021545111
0.5,180.0,0.5,0.0025,0.25,0.3961993251699482,0.7276367834269446,0.6084656084529321,0.577433905683275
0.5,180.0,0.5,0.0025,0.5,0.3731312079260227,0.7618217618019596,0.5303030302919824,0.5550853333399882
0.5,180.0,0.5,0.005,0.0,0.277069199157593,0.7603178255944214,0.5518867924413325,0.529757939064449
0.5,180.0,0.5,0.005,0.25,0.3126341289906186,0.7325532148630721,0.44655797100518946,0.4972484382862934
0.5,180.0,0.5,0.005,0.5,0.22580581883984877,0.7559089045698303,0.47222222221238425,0.48464564854068776
